Date,2020,2021,2022,2023,2024,2025
3/4,-29.5,-34.54,-64.9,-65.29,-73.57,-41.77
3/5,-31,-38.07,-64.9,-65.29,-70.78,-48.2
3/6,-32.5,-38.07,-64.9,-74.4,-68.39,-42.62
3/7,-32.5,-38.07,-55.46,-73.32,-67.73,-44.87
3/8,-32.5,-38.62,-53.51,-77.39,-64.47,-44.87
3/9,-33.5,-45.02,-52.5,-71.76,-64.47,-44.87
3/10,-33.25,-46.85,-50.42,-77.08,-64.47,-42.87
3/11,-34.75,-49.15,-57.71,-77.08,-77.05,-46.25
3/12,-34.25,-50,-57.71,-77.08,-78.64,-48.76
3/13,-35.5,-50,-57.71,-75.14,-79.65,-49.21
3/14,-35.5,-50,-59.14,-83.42,-78.08,-47.62
3/15,-35.5,-53.61,-60.06,-84.84,-79.33,-47.62
3/16,-18.25,-45.77,-58.75,-86.35,-79.33,-47.62
3/17,-16.5,-40.96,-58.41,-88.27,-79.33,-51.37
3/18,-17,-42.91,-62.63,-88.27,-79.48,-49.96
3/19,-17.5,-37.12,-62.63,-88.27,-79.72,-49.21
3/20,-8.25,-37.12,-62.63,-88.97,-80.93,-50.36
3/21,-8.25,-37.12,-59.66,-82.14,-79.47,-49.29
3/22,-8.25,-39.59,-53.82,-85.32,-79.45,-49.29
3/23,-7.5,-41.14,-57.62,-82.46,-79.45,-49.29
3/24,-7,-42.25,-60.97,-78.73,-79.45,-49.68
3/25,-8.25,-40.46,-63.88,-78.73,-77.84,-50.41
3/26,-5.75,-39.59,-63.88,-78.73,-73.78,-53.19
3/27,-6.9,-39.59,-63.88,-82.26,-75.74,-53.45
3/28,-6.9,-39.59,-47.87,-81.8,-79.06,-54.85
3/29,-6.9,-46.34,-56.17,-78.6,-79.06,-54.85
3/30,-9.5,-47.64,-59.89,-79.53,-79.06,-54.85
3/31,-7.75,-46.47,-59.34,-85.85,-79.06,-55.44
4/1,-5.25,-47.73,-59.1,-85.85,-77.9,-57.5
4/2,-3.6,-47.73,-59.1,-85.85,-81.39,-60.1
4/3,-5.25,-47.73,-59.1,-86.5,-78.84,-55.43
4/4,-5.25,-47.73,-66.06,-86.21,-81.42,-57.45
4/5,-5.25,-47.66,-66.49,-93.26,-77.23,-57.45
4/6,-3.65,-48.48,-66.37,-93.48,-77.23,-57.45
4/7,-3.5,-47.43,-64.23,-93.48,-77.23,-55.26
4/8,-6.85,-50.58,-66.66,-93.48,-75.36,-56.64
4/9,-7.75,-52.06,-66.66,-93.48,-78.91,-56.84
4/10,-7.75,-52.06,-66.66,-93.79,-80.41,-53.63
4/11,-7.75,-52.06,-61.06,-95.52,-81.78,-53.46
4/12,-7.75,-52.85,-61.13,-88.52,-81.54,-53.46
4/13,-10,-51.32,-69,-88.67,-81.54,-53.46
4/14,-11.5,-50.9,-71.54,-89.09,-81.54,-54.09
4/15,-11.1,-50.83,-71.54,-89.09,-78.89,-54.69
4/16,-11.25,-48.24,-71.54,-89.09,-79.48,-53.34
4/17,-12.15,-48.24,-71.54,-88.27,-75.12,-53.98
4/18,-12.15,-48.24,-70.81,-84.59,-73.62,-53.98
4/19,-12.15,-49.13,-71.49,-76.3,-71.19,-53.98
4/20,-12,-49.09,-77.48,-73.89,-71.19,-53.98
4/21,-12,-47.31,-78.86,-73.16,-71.19,-55.28
4/22,-14.1,-47.96,-84,-73.16,-69.27,-56.33
4/23,-13.5,-49.26,-84,-73.16,-72.48,-57.55
4/24,-13.25,-49.26,-84,-76.25,-76.87,-56.98
4/25,-13.25,-49.26,-91.31,-71.95,-77.83,-56.72
4/26,-13.25,-46.77,-90.85,-71.37,-77.9,-56.72
4/27,-13.25,-50.13,-98.97,-68.02,-77.9,-56.72
4/28,-14,-51.53,-96.84,-69.76,-77.9,-57.88
4/29,-14.25,-52.38,-93.99,-69.76,-80.34,-56.77
4/30,-13.75,-51.88,-93.99,-69.76,-77.97,-57.39
5/1,-14,-51.88,-93.99,-79.41,-72.99,-58.42
5/2,-14,-51.88,-98.76,-75.69,-76.15,-58.44
5/3,-14,-53.25,-108.37,-71.71,-73.76,-58.44
5/4,-12.25,-53.37,-114.73,-75.46,-73.76,-58.44
5/5,-10.85,-52.38,-119.12,-76.45,-73.76,-59.28
5/6,-10.75,-51.12,-127.4,-76.45,-76.27,-58.8
5/7,-10.75,-52.44,-127.4,-76.45,-72.04,-59.03
5/8,-10.65,-52.44,-127.4,-82.03,-73.88,-60.44
5/9,-10.65,-52.44,-128.69,-81.46,-74.68,-60.59
5/10,-10.65,-53.99,-123.8,-85.61,-72.97,-60.59
5/11,-11.15,-53.49,-125.05,-80.64,-72.97,-60.59
5/12,-12.1,-53.95,-133.92,-81.89,-72.97,-60.46
5/13,-12.1,-52.53,-140.03,-81.89,-73.45,-63.22
5/14,-12,-53.31,-140.03,-81.89,-72.86,-62.75
5/15,-11.9,-53.31,-140.03,-87.07,-74.93,-62.81
5/16,-11.9,-53.31,-143.54,-84.16,-78.28,-62.03
5/17,-11.9,-55.43,-136.92,-88.67,-78.67,-62.03
5/18,-12.5,-55.84,-122.81,-88.33,-78.67,-62.03
5/19,-12,-53.59,-128.17,-81.61,-78.67,-63.13
5/20,-12.25,-51.52,-128.7,-81.61,-72.99,-63.98
5/21,-12.3,-50.59,-128.7,-81.61,-70.17,-65.51
5/22,-11.5,-50.59,-128.7,-82.39,-69.12,-66.24
5/23,-11.5,-50.59,-128.89,-87.5,-68.9,-62.7
5/24,-11.5,-50.92,-132.72,-92.5,-66.83,-62.7
5/25,-11.5,-50.41,-133.03,-87.76,-66.83,-62.7
5/26,-10.5,-52.74,-132.99,-90.63,-66.83,-62.7
5/27,-10.5,-52.37,-142.19,-90.63,-66.83,-60.27
5/28,-10.45,-51.31,-142.19,-90.63,-66.03,-60.92
5/29,-10.35,-51.31,-142.19,-90.63,-62.74,-60.72
5/30,-10.35,-51.31,-142.19,-86.17,-60.1,-60.76
5/31,-10.35,-51.31,-140.87,-83.63,-62.49,-60.76
6/1,-10.1,-50.79,-154.16,-81.62,-62.49,-60.76
6/2,-9.75,-50.81,-166.59,-87.82,-62.49,-60.85
6/3,-9.75,-52.03,-167.22,-87.82,-65.56,-61.03
6/4,-9.85,-50.15,-167.22,-87.82,-68.2,-59.4
6/5,-9.85,-50.15,-167.22,-91.94,-66.36,-60.89
6/6,-9.85,-50.15,-166.8,-93.93,-68,-60.05
6/7,-9.85,-50.53,-164.52,-97.87,-65.51,-60.05
6/8,-9.75,-54.15,-165.69,-95.87,-65.51,-60.05
6/9,-9.75,-51.72,-174.12,-96.57,-65.51,-61.52
6/10,-10.25,-52.57,-169.22,-96.57,-62.94,-61.65
6/11,-12.25,-50.23,-169.22,-96.57,-61.64,-65.93
6/12,-12.25,-50.23,-169.22,-90.01,-60.19,-63.79
6/13,-12.25,-50.23,-162.38,-90.29,-61.16,-63.66
6/14,-12.25,-49.12,-162.88,-89.96,-61.21,-63.66
6/15,-12,-48.05,-153.67,-98.92,-61.21,-63.66
6/16,-12.25,-46.12,-155.29,-102.05,-61.21,-65.14
6/17,-12.5,-44.97,-147.55,-102.05,-63.56,-65.19
6/18,-12.75,-48.08,-147.55,-102.05,-65.57,-67.08
6/19,-12.5,-48.08,-147.55,-102.05,-65.57,-67.08
6/20,-12.5,-48.08,-147.55,-99.42,-65.26,-67.1
6/21,-12.5,-49.19,-143.7,-102.31,-65.16,-67.1
6/22,-12.35,-51.95,-152.53,-100.4,-65.16,-67.1
6/23,-12,-55.31,-141.1,-97.16,-65.16,
6/24,-11.75,-54.09,-151.92,-97.16,-64.5,
6/25,-11.5,-51.87,-151.92,-97.16,-65.95,
6/26,-10.25,-51.87,-151.92,-102.35,-66.7,
6/27,-10.25,-51.87,-147.01,-96.83,-66.3,
6/28,-10.25,-50.27,-156.67,-95.86,-64.9,
6/29,-10,-52.65,-145.33,-98.21,-64.9,
6/30,-10.25,-52.18,-136.88,-100.99,-64.9,
7/1,-10.5,-51.51,-147.53,-100.99,-69.33,
7/2,-11,-53.38,-147.53,-100.99,-68.59,
7/3,-11,-53.38,-147.53,-100.99,-70.38,
7/4,-11,-53.38,-147.53,-100.99,-70.38,
7/5,-11,-53.38,-123.3,-98.2,-70.38,
7/6,-11.55,-50.57,-112.16,-100.13,-70.38,
7/7,-11.4,-50.1,-116.54,-102.43,-70.38,
7/8,-13.5,-53.97,-119.46,-102.43,-68.04,
7/9,-13.75,-54.45,-119.46,-102.43,-69.99,
7/10,-13.75,-54.45,-119.46,-100.46,-64.09,
7/11,-13.75,-54.45,-116.72,-97.02,-65.53,
7/12,-13.75,-54.22,-109.46,-96.7,-65.28,
7/13,-13.7,-55.08,-101.87,-94.86,-65.28,
7/14,-13.75,-56.6,-98.93,-94.74,-65.28,
7/15,-12.55,-53.53,-100.32,-94.74,-66.16,
7/16,-12.75,-54.11,-100.32,-94.74,-67.5,
7/17,-12.5,-54.11,-100.32,-99.92,-68.88,
7/18,-12.5,-54.11,-99.18,-104.19,-70.64,
7/19,-12.5,-51.79,-102.75,-105.3,-69.29,
7/20,-12.15,-51.8,-100.29,-108.19,-69.29,
7/21,-13,-52.77,-91.7,-110.67,-69.29,
7/22,-12.55,-54.07,-96.28,-110.67,-74.31,
7/23,-13.35,-54.33,-96.28,-110.67,-69.82,
7/24,-13.75,-54.33,-96.28,-116.66,-73.29,
7/25,-13.75,-54.33,-103.45,-113.88,-72.7,
7/26,-13.75,-54.64,-102.68,-119.77,-73.47,
7/27,-13.5,-54.53,-99.61,-121.15,-73.47,
7/28,-13.75,-52.07,-87.18,-120.01,-73.47,
7/29,-13.75,-55.31,-85.82,-120.01,-71.73,
7/30,-13.2,-56.22,-85.82,-120.01,-71.43,
7/31,-14.25,-56.22,-85.82,-116.3,-74.87,
8/1,-14.25,-56.22,-80.31,-114.55,-74.05,
8/2,-14.25,-54.97,-88.17,-106.33,-71.51,
8/3,-14.25,-55.08,-79.72,-104.22,-71.51,
8/4,-13.95,-55.9,-75.6,-104.06,-71.51,
8/5,-13.6,-58.65,-79.06,-104.06,-74.86,
8/6,-12.25,-55.84,-79.06,-104.06,-68.37,
8/7,-12,-55.84,-79.06,-107.69,-69.73,
8/8,-12,-55.84,-77.87,-109.76,-76.42,
8/9,-12,-57.73,-86.52,-113.79,-72.28,
8/10,-12.75,-56.54,-90.28,-113.97,-72.28,
8/11,-14.85,-57.57,-86.15,-115.74,-72.28,
8/12,-15,-55.29,-89.1,-115.74,-70.54,
8/13,-15.5,-56.76,-89.1,-115.74,-65.72,
8/14,-15.7,-56.76,-89.1,-112.72,-62.98,
8/15,-15.7,-56.76,-88.42,-113.51,-63.07,
8/16,-15.7,-52.84,-88.82,-116.21,-61.77,
8/17,-15.3,-50.06,-86.7,-111.17,-61.77,
8/18,-15.3,-49.27,-92.11,-111.07,-61.77,
8/19,-15.7,-47,-92.75,-111.07,-59.88,
8/20,-15.7,-43.86,-92.75,-111.07,-56.1,
8/21,-15.63,-43.86,-92.75,-106.76,-54.5,
8/22,-15.63,-43.86,-83.82,-108,-54.18,
8/23,-15.63,-45.82,-85.3,-109.2,-49.86,
8/24,-16.25,-48.26,-80.2,-110.85,-49.86,
8/25,-23.75,-55.75,-86.59,-112.62,-49.86,
8/26,-23.5,-52.58,-85.49,-112.62,-48.24,
8/27,-24.2,-55.08,-85.49,-112.62,-45.38,
8/28,-22.05,-55.08,-85.49,-106.06,-42.48,
8/29,-22.05,-55.08,-85.36,-103.9,-45.02,
8/30,-22.05,-55.88,-76.53,-105.21,-48.82,
8/31,-22,-55.69,-69.43,-94.21,-48.82,
9/1,-21.75,-52.84,-73.28,-92.12,-48.82,
9/2,-21.5,-57.1,-79.76,-92.12,-48.82,
9/3,-21.25,-53.27,-79.76,-92.12,-40.27,
9/4,-21.1,-53.27,-79.76,-92.12,-39.68,
9/5,-21.1,-53.27,-79.76,-86.35,-35.33,
9/6,-21.1,-53.27,-76.79,-85.39,-37.1,
9/7,-21.1,-53.5,-73.77,-91.05,-37.1,
9/8,-21.5,-48.71,-73.36,-91.12,-37.1,
9/9,-17.5,-47.72,-77.56,-91.12,-39.41,
9/10,-17.75,-49.5,-77.56,-91.12,-40.75,
9/11,-17.1,-49.5,-77.56,-95.12,-39.97,
9/12,-17.1,-49.5,-76.48,-91.29,-35.95,
9/13,-17.1,-48.46,-78.64,-93.34,-34.02,
9/14,-14.4,-48.59,-83.57,-88.27,-34.02,
9/15,-14.1,-44.91,-78.87,-83.56,-34.02,
9/16,-13.55,-39.87,-78.32,-83.56,-33.17,
9/17,-14.75,-39.38,-78.32,-83.56,-34.19,
9/18,-14.75,-39.38,-78.32,-82.79,-39.19,
9/19,-14.75,-39.38,-81.16,-80.68,-41.59,
9/20,-14.75,-37.37,-82.53,-82.82,-43.23,
9/21,-14.75,-34.77,-85.65,-84.06,-43.23,
9/22,-14.75,-34.14,-85.91,-77.81,-43.23,
9/23,-15.9,-36.62,-80.56,-77.81,-38.88,
9/24,-15.65,-34.52,-80.56,-77.81,-40.67,
9/25,-12.5,-34.52,-80.56,-75.46,-40.42,
9/26,-12.5,-34.52,-86.38,-77.78,-39.23,
9/27,-12.5,-33.87,-89.14,-79.01,-37.95,
9/28,-14.85,-32.25,-88.42,-74.12,-37.95,
9/29,-12.3,-34.45,-81.02,-71.05,-37.95,
9/30,-13.4,-35.05,-78.73,-71.05,-39.51,
10/1,-16.24,-37.95,-78.73,-71.05,-36.41,
10/2,-15.8,-37.95,-78.73,-74.87,-36.34,
10/3,-15.8,-37.95,-97.66,-67.91,-42.26,
10/4,-15.8,-41.75,-108.55,-59.3,-39.08,
10/5,-16.41,-42.64,-99.35,-58.15,-39.08,
10/6,-24.26,-42.09,-100.89,-57.97,-39.08,
10/7,-20.29,-41.34,-98.96,-57.97,-42.48,
10/8,-21.26,-42.47,-98.96,-57.97,-40.56,
10/9,-22.82,-42.47,-98.96,-56.91,-39.89,
10/10,-22.82,-42.47,-87.53,-57.84,-43.84,
10/11,-22.82,-39.79,-91.98,-54.76,-44.16,
10/12,-23.22,-38.74,-95.28,-51,-44.16,
10/13,-18.27,-42.55,-93.34,-56.53,-44.16,
10/14,-18.11,-43.25,-93.29,-56.53,-43.96,
10/15,-17.6,-44.39,-93.29,-56.53,-41.74,
10/16,-16.88,-44.39,-93.29,-61.8,-42.28,
10/17,-16.88,-44.39,-90.56,-62.45,-42.53,
10/18,-16.88,-45.41,-79.06,-64.35,-39.7,
10/19,-17.48,-43.55,-86.47,-63.17,-39.7,
10/20,-18.29,-47.39,-81.73,-60.13,-39.7,
10/21,-17.96,-46.13,-82.57,-60.13,-34.66,
10/22,-18.77,-45.71,-82.57,-60.13,-36.4,
10/23,-19.95,-45.71,-82.57,-56.66,-35.41,
10/24,-19.95,-45.71,-90.89,-49.77,-30.6,
10/25,-19.95,-47.84,-89.79,-50.13,-30.92,
10/26,-18.44,-43.14,-91.51,-49.21,-30.92,
10/27,-18.63,-39.92,-88.77,-50.64,-30.92,
10/28,-17.61,-40.01,-77.79,-50.64,-29.32,
10/29,-15.8,-38.97,-77.79,-50.64,-28.64,
10/30,-15.97,-38.97,-77.79,-46.53,-31.15,
10/31,-15.97,-38.97,-74.07,-49.48,-33.38,
11/1,-15.97,-41.68,-77.7,-46.55,-32.7,
11/2,-15.7,-46.01,-83.22,-52.47,-32.7,
11/3,-15.19,-38.7,-83.89,-51.75,-32.7,
11/4,-15.06,-36.51,-82.48,-51.75,-35.92,
11/5,-18.19,-35.34,-82.48,-51.75,-36.71,
11/6,-17.94,-35.34,-82.48,-52.09,-36.79,
11/7,-17.94,-35.34,-74.31,-51.27,-35.36,
11/8,-17.94,-33.07,-72.92,-48.6,-31.5,
11/9,-19.47,-34.77,-67.21,-50.6,-31.5,
11/10,-22.01,-31.67,-68.38,-49.2,-31.5,
11/11,-19.59,-32.03,-71.21,-49.2,-32.05,
11/12,-19.71,-32.89,-71.21,-49.2,-34.68,
11/13,-18.29,-32.89,-71.21,-51.84,-36.76,
11/14,-18.29,-32.89,-65.6,-48.53,-37.57,
11/15,-18.29,-32.63,-57.61,-47.68,-38.78,
11/16,-18.93,-31.92,-58.3,-42.61,-38.78,
11/17,-20.97,-33.03,-50.72,-44.8,-38.78,
11/18,-19.21,-31.78,-46.08,-44.8,-40.68,
11/19,-18.61,-31.44,-46.08,-44.8,-41,
11/20,-19.78,-31.44,-46.08,-50.1,-39.87,
11/21,-19.78,-31.44,-49.71,-51.3,-39.42,
11/22,-19.78,-34.89,-55.38,-54.83,-38.24,
11/23,-21.66,-39.87,-53.3,-54.83,-38.24,
11/24,-21.25,-36.46,-53.3,-54.83,-38.24,
11/25,-23.45,-36.46,-53.3,-54.83,-35.87,
11/26,-23.45,-36.46,-53.3,-54.83,-37.85,
11/27,-23.45,-36.46,-53.3,-54.04,-37.49,
11/28,-23.45,-36.46,-47.23,-53.01,-37.49,
11/29,-23.45,-30.92,-54.03,-56.1,-37.49,
11/30,-20.66,-35.26,-54.72,-50.58,-37.49,
12/1,-18.44,-32.61,-48.2,-42.86,-37.49,
12/2,-20.49,-32.02,-44.54,-42.86,-36.22,
12/3,-20.52,-33.79,-44.54,-42.86,-36.99,
12/4,-20.75,-33.79,-44.54,-43.17,-34.66,
12/5,-20.75,-33.79,-45.94,-42.78,-34.25,
12/6,-20.75,-34.58,-51.16,-39.52,-33.12,
12/7,-17.48,-33.75,-52.72,-38.37,-33.12,
12/8,-17.14,-36.1,-49.91,-39.73,-33.12,
12/9,-20.84,-36.44,-53.61,-39.73,-37.25,
12/10,-22.31,-35.22,-53.61,-39.73,-37.18,
12/11,-21.77,-35.22,-53.61,-35.06,-36.08,
12/12,-21.77,-35.22,-50.1,-36.72,-37.1,
12/13,-21.77,-32.42,-56.09,-40.89,-36.78,
12/14,-22.21,-33.33,-57.69,-48.38,-36.78,
12/15,-20.83,-36.2,-49.93,-51.95,-36.78,
12/16,-23.04,-35.03,-50.98,-51.95,-37.57,
12/17,-23.21,-31.52,-50.98,-51.95,-36.54,
12/18,-21.56,-31.52,-50.98,-53.4,-37.83,
12/19,-21.56,-31.52,-57.51,-54.83,-37.94,
12/20,-21.56,-36,-63.78,-56.96,-38.78,
12/21,-20.38,-34.47,-59.83,-54.91,-38.78,
12/22,-20.05,-34.95,-58.13,-54.65,-38.78,
12/23,-21.07,-38.58,-70.9,-54.65,-40.41,
12/24,-20.72,-38.58,-70.9,-54.65,-40.81,
12/25,-20.72,-38.58,-70.9,-54.65,-40.81,
12/26,-20.72,-38.58,-70.9,-53.74,-40.72,
12/27,-20.72,-38.49,-72.08,-55.19,-40.86,
12/28,-20.87,-37.1,-75.33,-49.72,-40.86,
12/29,-22.33,-38.51,-70.37,-54.63,-40.86,
12/30,-23.38,-40.79,-80.08,-54.63,-40.52,
12/31,-23.96,-40.79,-80.08,-54.63,-38.32,
